person,county_num,case_year,dob_year,race,sex,court_action,amountpaid,amountdue,probation,imposed,total,suspended,atty
2100,63,2005,1978,B,M,guilty plea,0,3282,0,120,120,120,R-RETAINED
2101,63,2011,1986,W,M,guilty plea,0,601.9,0,120,120,120,P-PUBLIC
2102,75,2009,1952,W,M,guilty plea,100,51064,0,36,180,180,R-RETAINED
2103,66,2007,1976,B,M,guilty plea,430,1819,36,0,0,0,A-APPOINTED
2104,69,2009,1961,W,M,guilty plea,0,11798,0,96,96,0,A-APPOINTED
2105,38,2009,1976,W,M,guilty plea,0,3341,0,36,36,0,C-CONTRACT
2106,1,2007,1956,W,M,guilty plea,0,2020,0,0,13,13,A-APPOINTED
2107,2,2008,1983,W,M,guilty plea,425,425,0,48,240,192,R-RETAINED
2108,29,2011,1989,B,M,guilty plea,0,0,0,9,120,111,R-RETAINED
2109,52,2007,1975,W,F,guilty plea,45,2481,0,36,36,0,R-RETAINED
2110,47,2008,1978,B,M,guilty plea,0,2257,0,0,60,60,A-APPOINTED
2111,10,2010,1984,W,M,guilty plea,0,1004,0,0,31,31,R-RETAINED
2112,64,2005,1959,W,M,convicted,0,13269,0,0,0,0,A-APPOINTED
2113,37,2008,1987,B,M,guilty plea,5.5,12075,0,240,240,0,R-RETAINED
2114,71,2010,1985,W,F,guilty plea,149,1719,0,24,180,156,A-APPOINTED
2115,47,2007,1968,B,F,guilty plea,1491,1491,0,180,180,0,A-APPOINTED; R-RETAINED
2116,38,2005,1969,B,M,guilty plea,1500,4016,0,120,120,0,NA
2117,7,2009,1981,B,F,guilty plea,125,3235,0,0,13,13,A-APPOINTED
2118,19,2008,1983,B,M,guilty plea,260,3292,0,0,30,30,A-APPOINTED
2119,39,2005,1983,W,M,guilty plea,4172,4172,0,0,84,84,A-APPOINTED
2120,57,2005,1961,W,M,guilty plea,100,8418,48,9,48,39,A-APPOINTED
2121,1,2005,1964,W,M,guilty plea,0,2108,0,0,24,24,A-APPOINTED
2122,3,2010,1971,B,F,guilty plea,1779,1779,24,0,180,180,R-RETAINED
2123,1,2005,1976,B,M,guilty plea,206,5833,0,240,240,180,A-APPOINTED; P-PUBLIC
2124,57,2005,1972,W,M,guilty plea,500,6919,60,18,120,102,A-APPOINTED
2125,47,2007,1963,B,M,guilty plea,350,3556,0,156,156,132,A-APPOINTED
2126,47,2007,1975,W,F,guilty plea,95,1083,0,0,60,60,A-APPOINTED
2127,30,2006,1963,B,M,guilty plea,250,544,0,24,180,156,A-APPOINTED
2128,49,2010,1974,W,F,guilty plea,500,500,60,0,120,120,R-RETAINED
2129,11,2005,1962,B,M,guilty plea,1300,3023,0,0,120,120,A-APPOINTED
2130,30,2007,1965,W,F,guilty plea,1584,75658,0,60,240,180,R-RETAINED
2131,8,2009,1987,W,M,guilty plea,1227,1269,60,19,240,220,A-APPOINTED
2132,64,2009,1984,W,F,guilty plea,1172,3200,0,120,120,0,A-APPOINTED
2133,1,2005,1976,W,M,guilty plea,0,2048,0,36,180,144,A-APPOINTED
2134,63,2010,1976,W,M,guilty plea,2099,2099,0,120,120,0,A-APPOINTED
2135,38,2009,1964,B,F,guilty plea,0,4563,0,60,60,0,R-RETAINED
